batch,batch_date,total_companies,dimension,value,count,share
Summer 2005,2005-07-01,9,industry,B2B,5,0.5556
Summer 2005,2005-07-01,9,industry,Consumer,3,0.3333
Summer 2005,2005-07-01,9,industry,Social,2,0.2222
Summer 2005,2005-07-01,9,industry,Security,1,0.1111
Summer 2005,2005-07-01,9,industry,Analytics,1,0.1111
Summer 2005,2005-07-01,9,industry,Productivity,1,0.1111
Summer 2005,2005-07-01,9,industry,Infrastructure,1,0.1111
Summer 2005,2005-07-01,9,industry,Content,1,0.1111
Summer 2005,2005-07-01,9,industry,Fintech,1,0.1111
Summer 2005,2005-07-01,9,industry,Consumer Finance,1,0.1111
Summer 2005,2005-07-01,9,region,United States of America,8,0.8889
Summer 2005,2005-07-01,9,region,America / Canada,8,0.8889
Summer 2005,2005-07-01,9,region,United Kingdom,1,0.1111
Summer 2005,2005-07-01,9,region,Europe,1,0.1111
Summer 2005,2005-07-01,9,status,Acquired,6,0.6667
Summer 2005,2005-07-01,9,status,Inactive,3,0.3333
Summer 2005,2005-07-01,9,tag,Calendar,1,0.1111
Summer 2005,2005-07-01,9,tag,Community,1,0.1111
Summer 2005,2005-07-01,9,tag,Social Media,1,0.1111
Summer 2005,2005-07-01,9,tag,Social,1,0.1111
Summer 2005,2005-07-01,9,tag,Social Network,1,0.1111
Winter 2006,2006-01-01,7,industry,B2B,4,0.5714
Winter 2006,2006-01-01,7,industry,Consumer,3,0.4286
Winter 2006,2006-01-01,7,industry,Marketing,2,0.2857
Winter 2006,2006-01-01,7,industry,Infrastructure,1,0.1429
Winter 2006,2006-01-01,7,industry,Social,1,0.1429
Winter 2006,2006-01-01,7,industry,Finance and Accounting,1,0.1429
Winter 2006,2006-01-01,7,industry,Home and Personal,1,0.1429
Winter 2006,2006-01-01,7,industry,Content,1,0.1429
Winter 2006,2006-01-01,7,region,United States of America,6,0.8571
Winter 2006,2006-01-01,7,region,America / Canada,6,0.8571
Winter 2006,2006-01-01,7,region,Unspecified,1,0.1429
Winter 2006,2006-01-01,7,status,Acquired,4,0.5714
Winter 2006,2006-01-01,7,status,Inactive,3,0.4286
Winter 2006,2006-01-01,7,tag,Media,1,0.1429
Winter 2006,2006-01-01,7,tag,SaaS,1,0.1429
Winter 2006,2006-01-01,7,tag,Productivity,1,0.1429
Summer 2006,2006-07-01,11,industry,Consumer,9,0.8182
Summer 2006,2006-07-01,11,industry,Social,3,0.2727
Summer 2006,2006-07-01,11,industry,Content,2,0.1818
Summer 2006,2006-07-01,11,industry,Gaming,2,0.1818
Summer 2006,2006-07-01,11,industry,B2B,2,0.1818
Summer 2006,2006-07-01,11,industry,Productivity,2,0.1818
Summer 2006,2006-07-01,11,industry,Apparel and Cosmetics,1,0.0909
Summer 2006,2006-07-01,11,industry,Home and Personal,1,0.0909
Summer 2006,2006-07-01,11,region,United States of America,10,0.9091
Summer 2006,2006-07-01,11,region,America / Canada,10,0.9091
Summer 2006,2006-07-01,11,region,Remote,1,0.0909
Summer 2006,2006-07-01,11,region,Partly Remote,1,0.0909
Summer 2006,2006-07-01,11,region,Unspecified,1,0.0909
Summer 2006,2006-07-01,11,status,Inactive,8,0.7273
Summer 2006,2006-07-01,11,status,Acquired,2,0.1818
Summer 2006,2006-07-01,11,status,Active,1,0.0909
Summer 2006,2006-07-01,11,tag,Collaboration,1,0.0909
Summer 2006,2006-07-01,11,tag,Social Network,1,0.0909
Summer 2006,2006-07-01,11,tag,Music,1,0.0909
Summer 2006,2006-07-01,11,tag,Gaming,1,0.0909
Summer 2006,2006-07-01,11,tag,Social,1,0.0909
Summer 2006,2006-07-01,11,tag,Market Research,1,0.0909
Summer 2006,2006-07-01,11,tag,AI-Enhanced Learning,1,0.0909
Summer 2006,2006-07-01,11,tag,Remote Work,1,0.0909
Summer 2006,2006-07-01,11,tag,Edtech,1,0.0909
Summer 2006,2006-07-01,11,tag,Marketplace,1,0.0909
Summer 2006,2006-07-01,11,tag,E-Commerce,1,0.0909
Winter 2007,2007-01-01,13,industry,Consumer,7,0.5385
Winter 2007,2007-01-01,13,industry,Social,4,0.3077
Winter 2007,2007-01-01,13,industry,B2B,3,0.2308
Winter 2007,2007-01-01,13,industry,Industrials,2,0.1538
Winter 2007,2007-01-01,13,industry,Manufacturing and Robotics,2,0.1538
Winter 2007,2007-01-01,13,industry,Content,2,0.1538
Winter 2007,2007-01-01,13,industry,Home and Personal,1,0.0769
Winter 2007,2007-01-01,13,industry,Fintech,1,0.0769
Winter 2007,2007-01-01,13,industry,Consumer Finance,1,0.0769
Winter 2007,2007-01-01,13,industry,Infrastructure,1,0.0769
Winter 2007,2007-01-01,13,industry,Marketing,1,0.0769
Winter 2007,2007-01-01,13,industry,Productivity,1,0.0769
Winter 2007,2007-01-01,13,region,United States of America,12,0.9231
Winter 2007,2007-01-01,13,region,America / Canada,12,0.9231
Winter 2007,2007-01-01,13,region,Remote,2,0.1538
Winter 2007,2007-01-01,13,region,Partly Remote,2,0.1538
Winter 2007,2007-01-01,13,region,Unspecified,1,0.0769
Winter 2007,2007-01-01,13,status,Acquired,6,0.4615
Winter 2007,2007-01-01,13,status,Inactive,5,0.3846
Winter 2007,2007-01-01,13,status,Active,2,0.1538
Winter 2007,2007-01-01,13,tag,Community,2,0.1538
Winter 2007,2007-01-01,13,tag,Messaging,2,0.1538
Winter 2007,2007-01-01,13,tag,Fintech,1,0.0769
Winter 2007,2007-01-01,13,tag,Electronics,1,0.0769
Winter 2007,2007-01-01,13,tag,Gaming,1,0.0769
Winter 2007,2007-01-01,13,tag,Social Media,1,0.0769
Winter 2007,2007-01-01,13,tag,Video,1,0.0769
Winter 2007,2007-01-01,13,tag,Social Network,1,0.0769
Winter 2007,2007-01-01,13,tag,Documents,1,0.0769
Winter 2007,2007-01-01,13,tag,SaaS,1,0.0769
